﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Districte;Secció;Població;Cens;Participació 14:00;Participació 18:00;Participació 20:00;Abstenció;Vots nuls;Vots en blanc;Vots a candidatures;Vots vàlids
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;1;1;;146;58;85;122;24;0;0;122;122
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;1;;1141;440;600;768;373;2;5;761;766
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;2;;1279;533;697;859;420;6;5;848;853
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;3;;574;209;307;391;183;0;1;390;391
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;4;;1371;461;671;903;468;3;4;896;900
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;5;;1404;519;724;893;511;1;4;888;892
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;7;;1901;549;813;1074;827;4;12;1058;1070
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;8;;1430;494;724;972;458;0;1;971;972
25;Lleida;4;Lleida;23;Noguera;25002;Àger;1;1;;490;225;323;410;80;2;16;392;408
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;1;;577;203;288;378;199;4;18;356;374
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;2;;649;222;318;424;225;4;26;394;420
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;3;;1350;446;650;899;451;24;31;844;875
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;4;;1198;418;590;794;404;18;44;732;776
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;1;1;;221;74;139;191;30;5;3;183;186
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;1;1;;600;279;405;470;130;3;12;455;467
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;1;1;;2012;786;1140;1435;577;13;46;1376;1422
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;1;1;;708;301;419;538;170;4;7;527;534
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;1;1;;563;286;386;480;83;0;12;468;480
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;1;1;;775;349;500;616;159;0;13;603;616
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;1;2;;757;370;523;638;119;6;11;621;632
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;1;1;;602;242;385;488;114;17;22;449;471
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;1;1;;271;111;154;198;73;4;2;192;194
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';1;1;;319;181;228;272;47;4;3;265;268
17;Girona;3;Girona;2;Alt Empordà;17003;Albanyà;1;1;;106;43;56;80;26;1;1;78;79
25;Lleida;4;Lleida;33;Segrià;25007;Albatàrrec;1;1;;1416;568;772;1006;410;15;27;964;991
25;Lleida;4;Lleida;23;Noguera;25008;Albesa;1;1;;1106;508;708;872;234;7;18;847;865
25;Lleida;4;Lleida;18;Garrigues;25009;Albi, l';1;1;;606;291;450;544;62;13;11;520;531
43;Tarragona;8;Penedès;12;Baix Penedès;43002;Albinyana;1;1;;1892;796;1102;1373;519;16;11;1346;1357
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43003;Albiol, l';1;1;;359;167;221;281;78;3;2;276;278
17;Girona;3;Girona;10;Baix Empordà;17004;Albons;1;1;;547;234;311;398;149;18;35;345;380
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43004;Alcanar;1;1;;1098;463;602;775;323;13;12;750;762
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43004;Alcanar;1;2;;1170;438;621;809;361;9;7;793;800
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43004;Alcanar;1;3;;1743;622;821;1061;682;3;9;1049;1058
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43004;Alcanar;1;4;;1151;485;643;876;275;16;18;842;860
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43004;Alcanar;2;1;;925;403;547;650;275;5;7;638;645
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43004;Alcanar;2;2;;523;238;310;367;156;7;3;357;360
25;Lleida;4;Lleida;33;Segrià;25010;Alcanó;1;1;;196;82;119;150;46;7;3;140;143
25;Lleida;4;Lleida;33;Segrià;25011;Alcarràs;1;1;;1647;588;829;1094;553;6;15;1073;1088
25;Lleida;4;Lleida;33;Segrià;25011;Alcarràs;1;2;;1464;480;670;874;590;4;2;868;870
25;Lleida;4;Lleida;33;Segrià;25011;Alcarràs;1;3;;943;304;425;580;363;1;6;573;579
25;Lleida;4;Lleida;33;Segrià;25011;Alcarràs;1;4;;1393;530;829;941;452;5;20;916;936
25;Lleida;4;Lleida;33;Segrià;25012;Alcoletge;1;1;;1361;567;764;977;384;13;9;955;964
25;Lleida;4;Lleida;33;Segrià;25012;Alcoletge;1;2;;1081;299;459;599;482;8;7;584;591
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43005;Alcover;1;1;;1917;796;1124;1416;501;5;14;1397;1411
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43005;Alcover;2;1;;1792;619;876;1150;642;6;9;1135;1144
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43904;Aldea, l';1;1;;1638;788;1020;1247;391;26;22;1199;1221
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43904;Aldea, l';1;2;;1239;568;761;928;311;31;24;873;897
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43006;Aldover;1;1;;704;337;489;557;147;8;10;539;549
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43007;Aleixar, l';1;1;;652;298;422;511;141;6;2;503;505
8;Barcelona;1;Barcelona;21;Maresme;08003;Alella;1;1;;2065;751;1046;1370;695;7;16;1347;1363
8;Barcelona;1;Barcelona;21;Maresme;08003;Alella;1;2;;1831;594;976;1228;603;0;5;1223;1228
8;Barcelona;1;Barcelona;21;Maresme;08003;Alella;1;3;;1728;667;937;1189;539;6;9;1174;1183
8;Barcelona;1;Barcelona;21;Maresme;08003;Alella;1;4;;1687;504;788;1040;647;1;12;1027;1039
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43008;Alfara de Carles;1;1;;311;100;151;211;100;16;18;177;195
25;Lleida;4;Lleida;33;Segrià;25013;Alfarràs;1;1;;1162;451;601;909;253;5;10;894;904
25;Lleida;4;Lleida;33;Segrià;25013;Alfarràs;1;2;;956;374;532;688;268;3;5;680;685
25;Lleida;4;Lleida;33;Segrià;25014;Alfés;1;1;;251;109;153;194;57;9;30;155;185
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43009;Alforja;1;1;;1405;591;831;1037;368;31;26;980;1006
25;Lleida;4;Lleida;23;Noguera;25015;Algerri;1;1;;338;158;202;245;93;10;28;207;235
25;Lleida;4;Lleida;33;Segrià;25016;Alguaire;1;1;;990;409;546;689;301;8;13;668;681
25;Lleida;4;Lleida;33;Segrià;25016;Alguaire;1;2;;1100;400;591;765;335;8;16;741;757
25;Lleida;5;Alt Pirineu i territori d'Aran;26;Pallars Sobirà;25017;Alins;1;1;;231;75;118;206;25;1;2;203;205
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43010;Alió;1;1;;334;154;200;249;85;24;16;209;225
25;Lleida;4;Lleida;33;Segrià;25019;Almacelles;1;1;;808;318;433;566;242;9;8;549;557
25;Lleida;4;Lleida;33;Segrià;25019;Almacelles;1;2;;1375;480;674;943;432;11;17;915;932
25;Lleida;4;Lleida;33;Segrià;25019;Almacelles;2;1;;949;312;453;616;333;16;8;592;600
25;Lleida;4;Lleida;33;Segrià;25019;Almacelles;2;2;;1533;512;714;913;620;12;10;891;901
25;Lleida;4;Lleida;33;Segrià;25020;Almatret;1;1;;276;133;179;218;58;10;18;190;208
25;Lleida;4;Lleida;33;Segrià;25021;Almenar;1;1;;587;236;316;384;203;0;1;383;384
25;Lleida;4;Lleida;33;Segrià;25021;Almenar;2;1;;1028;403;562;749;279;3;13;733;746
25;Lleida;4;Lleida;33;Segrià;25021;Almenar;2;2;;930;374;545;693;237;3;13;677;690
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43011;Almoster;1;1;;1089;397;591;803;286;44;61;698;759
25;Lleida;4;Lleida;23;Noguera;25022;Alòs de Balaguer;1;1;;114;37;58;84;30;1;5;78;83
17;Girona;5;Alt Pirineu i territori d'Aran;15;Cerdanya;17006;Alp;1;1;;1207;448;620;818;389;15;25;778;803
8;Barcelona;2;Catalunya Central;24;Osona;08004;Alpens;1;1;;211;105;149;191;20;2;3;186;189
25;Lleida;4;Lleida;33;Segrià;25023;Alpicat;1;1;;1680;629;864;1153;527;3;21;1129;1150
25;Lleida;4;Lleida;33;Segrià;25023;Alpicat;1;2;;1619;607;848;1132;487;6;14;1112;1126
25;Lleida;4;Lleida;33;Segrià;25023;Alpicat;1;3;;1277;428;589;878;399;6;15;857;872
43;Tarragona;6;Camp de Tarragona;36;Tarragonès;43012;Altafulla;1;1;;948;415;534;658;290;0;3;655;658
43;Tarragona;6;Camp de Tarragona;36;Tarragonès;43012;Altafulla;1;2;;1000;387;488;690;310;3;4;683;687
